[startup] Initializing environment...
[startup] Environment initialized in 0.0s
[startup] Resetting environment and loading checkpoint...
[startup] Checkpoint loaded in 5.5s
[startup] Loading evaluation goal...
Using badge-success goal: /home/yeonlife/rl_project/PokemonofflineRL/offline_trajectories/trajectory_seed_000.npz (step 8081)
[startup] Evaluation goal loaded in 0.2s
Checkpoint: /home/yeonlife/rl_project/PokemonofflineRL/checkpoints/hiql_0804/hiql_10000.msgpack
Evaluating 300 episodes (max 50000 steps each, logging every 1000 steps)
[startup] Ready in 5.6s. The first policy call may include JAX compilation time.
[episode 1/300] resetting environment...
[episode 1/300] started (reset=0.0s, max_steps=50,000)
[episode 3/300 | step 6,000/50,000] return=3.450 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 3/300 | step 7,000/50,000] return=3.450 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 3/300 | step 8,000/50,000] return=32.500 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 3/300 | step 9,000/50,000] return=36.700 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=3, map=40)
[episode 3/300 | step 10,000/50,000] return=51.200 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 3/300 | step 11,000/50,000] return=51.500 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=29, map=12)
[episode 3/300 | step 12,000/50,000] return=52.800 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=14, y=24, map=12)
[episode 3/300 | step 13,000/50,000] return=56.800 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=37)
[episode 3/300 | step 14,000/50,000] return=59.874 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 3/300 | step 15,000/50,000] return=60.474 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 3/300 | step 16,000/50,000] return=65.571 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=39)
[episode 3/300 | step 17,000/50,000] return=65.671 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=39)
