saved offline_trajectories/trajectory_seed_160.npz | steps=16935 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_161.npz | steps=20458 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_162.npz | steps=14358 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_163.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_164.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_165.npz | steps=39660 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_166.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_167.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_168.npz | steps=19393 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_169.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_170.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_171.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_172.npz | steps=15558 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_173.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_174.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_175.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_176.npz | steps=22764 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_177.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_178.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_179.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_180.npz | steps=40730 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_181.npz | steps=8235 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_182.npz | steps=10840 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_183.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_184.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_185.npz | steps=10692 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_186.npz | steps=30881 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_187.npz | steps=10942 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_188.npz | steps=10353 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_189.npz | steps=42807 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_190.npz | steps=11082 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_191.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_192.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_193.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_194.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_195.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_196.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_197.npz | steps=8186 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_198.npz | steps=9169 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_199.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_200.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_201.npz | steps=16074 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_202.npz | steps=25691 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_203.npz | steps=7625 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_204.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_205.npz | steps=24290 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_206.npz | steps=10419 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_207.npz | steps=21572 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_208.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_209.npz | steps=10921 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_210.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_211.npz | steps=47703 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_212.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_213.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_214.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_215.npz | steps=7993 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_216.npz | steps=9903 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_217.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_218.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
